# 2d example: 16/36

RAW_SIMULATION_TIME: 1147.902697
Cycle; Dim; Run; Duration
cycle_4; dim_2; MD_prep; 14.869969
cycle_4; dim_2; MD_run; 19.642861
cycle_4; dim_1; MD_prep; 15.078614
cycle_4; dim_1; MD_run; 20.973272
cycle_1; dim_2; EX_prep; 10.160412
cycle_1; dim_2; Post_proc; 0.548865
cycle_1; dim_2; EX_run; 263.580409
cycle_1; dim_2; MD_prep; 11.934088
cycle_1; dim_2; MD_run; 16.593939
cycle_1; dim_1; EX_prep; 9.597062
cycle_1; dim_1; Post_proc; 0.85412
cycle_1; dim_1; EX_run; 2.176592
cycle_1; dim_1; MD_prep; 12.353204
cycle_1; dim_1; MD_run; 37.816565
cycle_2; dim_2; EX_prep; 10.705966
cycle_2; dim_2; Post_proc; 0.549671
cycle_2; dim_2; EX_run; 264.471512
cycle_2; dim_2; MD_prep; 12.698197
cycle_2; dim_2; MD_run; 16.969931
cycle_2; dim_1; EX_prep; 10.179875
cycle_2; dim_1; Post_proc; 1.030309
cycle_2; dim_1; EX_run; 2.466099
cycle_2; dim_1; MD_prep; 13.882858
cycle_2; dim_1; MD_run; 15.087094
cycle_3; dim_2; EX_prep; 12.291014
cycle_3; dim_2; Post_proc; 0.854182
cycle_3; dim_2; EX_run; 262.488455
cycle_3; dim_2; MD_prep; 13.50544
cycle_3; dim_2; MD_run; 18.850517
cycle_3; dim_1; EX_prep; 11.147446
cycle_3; dim_1; Post_proc; 1.255378
cycle_3; dim_1; EX_run; 3.642775
cycle_3; dim_1; MD_prep; 15.103262
cycle_3; dim_1; MD_run; 23.999999
CU_ID; New; exestart; exeEnd; Done; Cycle; Dim; Run
5525ddcc23769c196acc4df2; 66.636854; 74.605854; 77.566854; 77.754854; cycle_1; dim_2; run_MD
5525ddcc23769c196acc4df3; 66.940854; 75.128854; 78.023854; 78.107854; cycle_1; dim_2; run_MD
5525ddcb23769c196acc4df0; 65.923854; 72.751854; 75.761854; 75.933854; cycle_1; dim_2; run_MD
5525ddd423769c196acc4e08; 74.006854; 85.200854; 88.486854; 88.770854; cycle_1; dim_2; run_MD
5525ddd423769c196acc4e09; 74.355854; 86.674854; 89.767854; 89.919854; cycle_1; dim_2; run_MD
5525ddd123769c196acc4e00; 71.283854; 83.440854; 86.910854; 87.833854; cycle_1; dim_2; run_MD
5525ddd123769c196acc4e01; 71.602854; 83.564854; 87.046854; 87.948854; cycle_1; dim_2; run_MD
5525ddd123769c196acc4e02; 71.933854; 83.678854; 87.182854; 88.067854; cycle_1; dim_2; run_MD
5525ddca23769c196acc4deb; 64.311854; 67.078854; 70.113854; 70.306854; cycle_1; dim_2; run_MD
5525ddcb23769c196acc4dee; 65.293854; 70.873854; 73.900854; 74.155854; cycle_1; dim_2; run_MD
5525ddcb23769c196acc4def; 65.589854; 70.997854; 74.037854; 74.279854; cycle_1; dim_2; run_MD
5525ddd423769c196acc4e0a; 74.693854; 88.115854; 91.105854; 91.285854; cycle_1; dim_2; run_MD
5525ddd323769c196acc4e05; 73.024854; 84.044854; 87.589854; 88.411854; cycle_1; dim_2; run_MD
5525ddcf23769c196acc4dfa; 69.292854; 82.322854; 85.575854; 86.530854; cycle_1; dim_2; run_MD
5525ddcf23769c196acc4dfc; 69.938854; 82.551854; 85.859854; 86.759854; cycle_1; dim_2; run_MD
